EnforcerID,PeriodStartTime,PeriodEndTime,ClientIP,ServerIP,ServiceID,LineID,PipeID,VCID,InstanceType,InstanceKey1,InstanceKey2,NetUnitID,ClientDeviceID,ClientDevice.Class,ClientDevice.Vendor,ClientDevice.Model,ClientDeviceOS.Name,ClientDeviceOS.FullVersion,ClientDeviceOS.MajorVersion,TetheringIndication,NextHopAS,DestinationAS,MonitoredServiceGroupID,SessionRAT,IPv6Prefix,IPv6PrefixLength,CongestionState,InTunnelType,InTunnelInfo1,InTunnelInfo2,OutTunnelType,OutTunnelInfo1,OutTunnelInfo2,SubSessionKey,SubscriberID,SourceAS,LiveConnections,NewConnections,PacketsIn,PacketsOut,OctetsIn,OctetsOut,NetworkActivityTimeSec,RetransmittedTcpDataSegmentsIn,TotalTcpDataSegmentsIn,RetransmittedTcpDataSegmentsOut,TotalTcpDataSegmentsOut,RttEstimateExternalAvgMsec,RttEstimateExternalSumMsec,RttEstimateExternaEventsMsec,RttEstimateInternalAvgMsec,RttEstimateInternalSumMsec,RttEstimateInternaEventsMsec,MaxBandwidthKbps,MinBandwidthKbps,VoiPSessionDuration,QosDroppedPacketsIn,QosDroppedPacketsOut,QosDroppedOctetsIn,QosDroppedOctetsOut,UDPPacketsIn,UDPPacketsOut,UDPOctetsIn,UDPOctetsOut,InQoSLatencyAvgMsec,OutQoSLatencyAvgMsec,InNetworkActivityTimeSec,OutNetworkActivityTimeSec,SilentlyDroppedConnections,RejectedConnections,ClosedPassedConnections
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,AmazonCloud,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Un-Tethered,0,0,File Transfer,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,2,3,27,10,8682,4483,0,2,68,0,10,131,131,1,21,21,1,3,0,0,0,0,0,0,0,0,0,0,0,0,75,15,0,0,1
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,Encrypt,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,Security,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,0,1,10,11,6030,2612,0,0,10,1,11,133,133,1,25,25,1,2,2,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,1
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,Yahoo Video,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Un-Tethered,0,0,Instant Messaging Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,2,2,25,0,14503,0,0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,2
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,Linkedin,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,Web Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,1,1,6,7,953,1141,0,0,6,0,7,4,4,1,41,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,1
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,Google Drive,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,Web Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,1,1,21,15,12655,2498,0,0,21,0,15,2,2,1,29,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,1
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,Office 365 OutLook,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Un-Tethered,0,0,Business Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,3,3,337,0,385921,0,0,6,340,0,0,0,0,0,0,0,0,93,7,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,3
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,Adobe Creative Cloud,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Un-Tethered,0,0,Web Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,1,2,18,0,10114,0,0,0,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,AmazonCloud,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,File Transfer,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,1,1,11,16,2666,5071,0,0,13,2,19,130,130,1,36,36,1,2,2,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,Amazon Video,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Tethered,0,0,Streaming Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,5,5,8940,1964,12774127,169670,0,5,9929,4,2169,3,18,5,24,123,5,3370,3370,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0
SGVE2,2021-12-18T09:40:00+0000,2021-12-18T09:45:00+0000,0::FFFF:xx.xx.xx.xx,-1,Amazon Video,FixNW,Fallback,Fallback,0,0,0,2174331890,Generic,-1,-1,-1,GENERIC,GENERIC,-1,Un-Tethered,0,0,Streaming Applications,1004,-1,0,0,No tunnel information,-1,00000000-0,No tunnel information,-1,00000000-0,61,9XXX506XXX,0,5,5,377,0,508833,0,0,5,678,0,0,0,0,0,0,0,0,132,132,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
