EnforcerID;StartTime;SubscriberID;SessionKey;ClientIP;ClientPort;ServerIP;ServerPort;ServiceID;HTTPMethod;RequestHeader.Host;URI;DownloadContentLength;UploadContentLength;RequestActualByteCount;ResponseActualByteCount;ResponseCode;ServerInitialResponseTime;Duration;RequestHeader.DNT_x-do-not-track;RequestHeader.User-Agent;RequestHeader.Referer;ResponseHeader.Content-Type;L5Protocol;ClientDeviceID;ClientDevice.Class;ClientDevice.Vendor;ClientDevice.Model;ClientDeviceOS.Name;ClientDeviceOS.FullVersion;ClientDeviceOS.MajorVersion;LineID;PipeID;VCID;CDN;IMSI;IMEISV;Action;WebSafeFilterID
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;Amazon Services;;m.media-amazon.com;;0;0;517;1358;;5;6;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;Amazon Services;;m.media-amazon.com;;0;0;517;1358;;5;6;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;secure.adnxs.com;;0;0;643;2910;;183;490;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;secure.adnxs.com;;0;0;6530;3807;;191;546;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:18+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;Quic Obfuscated;;;;0;0;1942;3148;;28;155;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:20+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;mab.chartbeat.com;;0;0;1314;5612;;5;93;;;;;HTTP2;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:21+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;id.a-mx.com;;0;0;517;2125;;109;108;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:21+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;GoogleServices;;imasdk.googleapis.com;;0;0;517;1358;;114;115;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:21+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;id.a-mx.com;;0;0;517;2126;;115;115;;;;;HTTPS;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
SGVE-1;2021-12-18T05:58:23+0000;9xx504xxxxxx;4,19767E+11;0::FFFF:xx.xx.xx.xx;xxxxx;0::FFFF:xx.xx.xx.xx;443;HTTPS;;prebid-server.rubiconproject.com;;0;0;517;3307;;117;117;;;;;HTTP2;Generic;-1;-1;-1;GENERIC;GENERIC;-1;FixNW;Fallback;Fallback;;9xx504746xxx;9xx504746xxx;;-1
