EnforcerDBID,RecordCreationTimestamp,SubscriberID,SessionKey,SubSessionKey,SubSessionStartTime,SubSessionEndTime,ServicePlanID,OpenReason,CloseReason,SessionIMEI,SessionSGSN,SessionTAC,SessionRAT,SessionIPV4,SessionIPV6,SessionAPN,SessionLocation,SessionMCC,NetUnitID,Charging-Char,Acct-Session-ID,GGSN-Address,IMSI,SGSN-MCC-MNC,QoS-Profile,ChargingProfile,RatingGroup,NAT-IPV4,NAT-Port-Range-Start,NAT-Port-Range-End,CustomAttr1,CustomAttr2,CustomAttr3,CustomAttr4,CustomAttr5,CustomAttr6,CustomAttr7,CustomAttr8,CustomAttr9,CustomAttr10,SessionDomainId,S11SgwIP,S11SgwTEID
SGVE2,2021-12-18T08:14:20+0000,9xx504746xyz,419767379201,52,2021-12-18T07:14:25+0000,2021-12-18T08:14:19+0000,Default Service Plan,SCHEDULE,SCHEDULE,867972051xxxxxxx,xx.xx.xx.xx,86797205,1004,xx.xx.xx.xx,-1,,8124F420011B0B01,42402,1,,DPI.ALLOT.COM;36700178;3395523766,,9xx504746xyz,42402,,,0,-1,0,0,,,,,,,,,,,3,-1,0
SGVE2,2021-12-18T08:21:59+0000,9xx504746xyz,419758125569,59,2021-12-18T07:48:50+0000,2021-12-18T08:21:58+0000,Default Service Plan,SCHEDULE,INFO_CHANGE,867972051xxxxxxx,xx.xx.xx.xx,35021214,1004,xx.xx.xx.xx,-1,,8224F42000D524F420011B0B00,42402,2174331883,,DPI.ALLOT.COM;36700181;214820874,,9xx504746xyz,42402,,,0,-1,0,0,,,,,,,,,,,3,-1,0
SGVE-1,2021-12-18T08:14:20+0000,9xx504746xyz,419767379201,52,2021-12-18T07:14:25+0000,2021-12-18T08:14:19+0000,Default Service Plan,SCHEDULE,SCHEDULE,867972051xxxxxxx,xx.xx.xx.xx,86797205,1004,xx.xx.xx.xx,-1,,8124F420011B0B01,42402,1,,DPI.ALLOT.COM;36700178;3395523766,,9xx504746xyz,42402,,,0,-1,0,0,,,,,,,,,,,3,-1,0
SGVE-1,2021-12-18T08:21:59+0000,9xx504746xyz,419758125569,59,2021-12-18T07:48:50+0000,2021-12-18T08:21:58+0000,Default Service Plan,SCHEDULE,INFO_CHANGE,867972051xxxxxxx,xx.xx.xx.xx,35021214,1004,xx.xx.xx.xx,-1,,8224F42000D524F420011B0B00,42402,2174331883,,DPI.ALLOT.COM;36700181;214820874,,9xx504746xyz,42402,,,0,-1,0,0,,,,,,,,,,,3,-1,0
